ШКОЛА №3,,,,
Группа,Фамилия,Имя,Пол,Г.р.,Разр.
Ж1012,КОРОБКИНА,МИЛАНА,Ж,2012,
Ж0304,ФИЛИППОВА,МЕЛИССА,Ж,2004,
М0506,БОГАЧЕВ,РОМАН,М,2005,
М0304,СИМОНОВ,ИВАН,М,2003,
М0304,СМУРОВ,ВАДИМ,М,2003,
Ж1012,ФИЛИППОВА,АРИНА,Ж,2010,
Ж0709,БОЛЬШАКОВА,ЕКАТЕРИНА,Ж,2009,
Ж0709,МУШТАЕВА,МАРИЯ,Ж,2007,
Ж0506,БОЛЬШАКОВА,ЮЛИЯ,Ж,2005,
Ж0506,КОМАРОВА,ВИКТОРИЯ,Ж,2005,
Ж0506,ИВАНОВА,ВАЛЕРИЯ,Ж,2006,
Ж0709,ДМИТРИЕВА,ЛЮБОВЬ,Ж,2008,
Ж0709,БАРЫШНИКОВА,НАТАЛИЯ,Ж,2009,
Ж0304,МУШТАЕВА,ЛЮБОВЬ,Ж,2004,
Ж0304,БАРАКОВА,СВЕТЛАНА,Ж,2003,
Ж0709,БОЛЬШАКОВА,НАТАЛЬЯ,Ж,2007,
Ж1012,КОРОБКИНА,НАТАЛЬЯ,Ж,2010,
М1012,КУРОШИН,ИГОРЬ,М,2011,
М0304,БОЛЬШАКОВ,ВЛАДИСЛАВ,М,2004,
М1012,СИМОНОВ,ТИМОФЕЙ,М,2011,
